Summary,Issue Type,Description,Priority,Sprint,Story Points,Epic Link,Labels,Assignee
"ElderCare Authentication System",Epic,"Complete authentication flow including sign in, sign up, password reset functionality",High,,,authentication,Bilal Rafiq
"ElderCare Dashboard System",Epic,"Dashboard interfaces for all user roles: Elder, Family, Admin, Volunteer",High,,,dashboards,Talha Tariq
"Backend API Development",Epic,"RESTful API endpoints for all system functionality",High,,,backend,Zee Waqar
"Health & Medication Management",Epic,"Health metrics tracking and medication management features",Medium,,,health,Muhammad Zain bin Zafar
"Activities & Events System",Epic,"Activity scheduling and event management functionality",Medium,,,activities,Bilal Rafiq
"Testing & Deployment",Epic,"System testing, Docker configuration, and deployment",Medium,,,deployment,Talha Tariq

"[AUTH] Create Sign In Page UI",Story,"As a user, I want to sign in with my email and password so that I can access my dashboard. Includes role selection (Elder/Family/Admin/Volunteer), email field, password field, and Forgot Password link.",High,Sprint 1,5,ElderCare Authentication System,authentication;frontend,Bilal Rafiq
"[AUTH] Create Sign Up Page UI",Story,"As a new user, I want to register an account so that I can use the ElderCare system. Includes role selection, name, email, password fields with validation.",High,Sprint 1,5,ElderCare Authentication System,authentication;frontend,Talha Tariq
"[AUTH] Create Forgot Password Page",Story,"As a user, I want to request a password reset so that I can recover my account. Email input with verification.",High,Sprint 1,3,ElderCare Authentication System,authentication;frontend,Zee Waqar
"[AUTH] Create Reset Password Page",Story,"As a user, I want to reset my password using the reset link so that I can regain access to my account.",High,Sprint 1,3,ElderCare Authentication System,authentication;frontend,Muhammad Zain bin Zafar
"[AUTH] Implement User Model",Story,"Create MongoDB User schema with fields: name, email, password (hashed), role, createdAt, resetToken.",High,Sprint 1,3,ElderCare Authentication System,authentication;backend,Bilal Rafiq
"[AUTH] Implement Auth Controller",Story,"Create authentication controller with login, register, forgotPassword, resetPassword functions.",High,Sprint 1,5,ElderCare Authentication System,authentication;backend,Talha Tariq
"[AUTH] Implement Auth Routes",Story,"Create Express routes for /api/auth/login, /api/auth/register, /api/auth/forgot-password, /api/auth/reset-password.",High,Sprint 1,3,ElderCare Authentication System,authentication;backend,Zee Waqar
"[AUTH] Implement JWT Middleware",Story,"Create authentication middleware to protect routes using JSON Web Tokens.",High,Sprint 1,3,ElderCare Authentication System,authentication;backend,Muhammad Zain bin Zafar
"[AUTH] Connect Frontend to Auth API",Story,"Integrate Axios calls from React pages to backend authentication endpoints.",High,Sprint 1,5,ElderCare Authentication System,authentication;integration,Bilal Rafiq

"[DASH] Create Elder Dashboard Layout",Story,"As an elder, I want to see my personalized dashboard with health info, medications, and upcoming activities.",High,Sprint 2,8,ElderCare Dashboard System,dashboards;frontend,Talha Tariq
"[DASH] Create Sidebar Navigation",Story,"Create reusable sidebar component with navigation links for all dashboard pages.",High,Sprint 2,5,ElderCare Dashboard System,dashboards;frontend,Zee Waqar
"[DASH] Create Reusable Card Component",Story,"Create MUI-based card component for displaying dashboard widgets and information.",Medium,Sprint 2,3,ElderCare Dashboard System,dashboards;frontend,Muhammad Zain bin Zafar
"[DASH] Create Family Dashboard Layout",Story,"As a family member, I want to view my elder's health status and schedule activities.",High,Sprint 2,8,ElderCare Dashboard System,dashboards;frontend,Bilal Rafiq
"[DASH] Create Admin Dashboard Layout",Story,"As an admin, I want to manage users, view system statistics, and configure settings.",High,Sprint 2,8,ElderCare Dashboard System,dashboards;frontend,Talha Tariq
"[DASH] Create Volunteer Dashboard Layout",Story,"As a volunteer, I want to see assigned tasks and elder information for my visits.",High,Sprint 2,8,ElderCare Dashboard System,dashboards;frontend,Zee Waqar
"[DASH] Implement Role-Based Routing",Story,"Implement protected routes that redirect users based on their role after login.",High,Sprint 2,5,ElderCare Dashboard System,dashboards;frontend,Muhammad Zain bin Zafar
"[DASH] Create Homepage/Landing Page",Story,"Create public landing page with service information and sign in/sign up links.",Medium,Sprint 2,5,ElderCare Dashboard System,dashboards;frontend,Bilal Rafiq
"[DASH] Create About Services Page",Story,"Create informational page describing ElderCare services and features.",Low,Sprint 2,3,ElderCare Dashboard System,dashboards;frontend,Talha Tariq

"[API] Implement Elder Model",Story,"Create MongoDB Elder schema with personal info, emergency contacts, medical history fields.",High,Sprint 3,5,Backend API Development,backend;models,Zee Waqar
"[API] Implement Health Metric Model",Story,"Create MongoDB HealthMetric schema for tracking vitals: blood pressure, heart rate, glucose, weight.",High,Sprint 3,5,Backend API Development,backend;models,Muhammad Zain bin Zafar
"[API] Implement Medication Model",Story,"Create MongoDB Medication schema: name, dosage, frequency, startDate, endDate, reminders.",High,Sprint 3,5,Backend API Development,backend;models,Bilal Rafiq
"[API] Implement Activity Model",Story,"Create MongoDB Activity schema: title, description, date, time, type, participants.",High,Sprint 3,5,Backend API Development,backend;models,Talha Tariq
"[API] Implement Event Model",Story,"Create MongoDB Event schema for community events: title, description, date, location, capacity.",High,Sprint 3,3,Backend API Development,backend;models,Zee Waqar
"[API] Create Admin Routes & Controller",Story,"Implement admin API endpoints: user management, statistics, system configuration.",High,Sprint 3,8,Backend API Development,backend;api,Muhammad Zain bin Zafar
"[API] Create Family Routes & Controller",Story,"Implement family API endpoints: view elder info, schedule visits, send messages.",High,Sprint 3,8,Backend API Development,backend;api,Bilal Rafiq
"[API] Create Volunteer Routes & Controller",Story,"Implement volunteer API endpoints: view assignments, update task status, log visits.",High,Sprint 3,8,Backend API Development,backend;api,Talha Tariq

"[HEALTH] Create Health Metrics Dashboard Widget",Story,"Display current health metrics with visual indicators for elders and family members.",High,Sprint 4,8,Health & Medication Management,health;frontend,Zee Waqar
"[HEALTH] Implement Health Data Entry Form",Story,"Form for caregivers to input daily health measurements.",High,Sprint 4,5,Health & Medication Management,health;frontend,Muhammad Zain bin Zafar
"[HEALTH] Create Health History Charts",Story,"Visualize health trends over time using charts (blood pressure, weight, etc.).",Medium,Sprint 4,8,Health & Medication Management,health;frontend,Bilal Rafiq
"[HEALTH] Implement Health API Endpoints",Story,"Create CRUD endpoints for health metrics: GET, POST, PUT, DELETE /api/health.",High,Sprint 4,5,Health & Medication Management,health;backend,Talha Tariq
"[MED] Create Medication List View",Story,"Display current medications with dosage, frequency, and next reminder time.",High,Sprint 4,5,Health & Medication Management,medication;frontend,Zee Waqar
"[MED] Create Medication Entry Form",Story,"Form to add/edit medications with scheduling options.",High,Sprint 4,5,Health & Medication Management,medication;frontend,Muhammad Zain bin Zafar
"[MED] Implement Medication API Endpoints",Story,"Create CRUD endpoints for medications: GET, POST, PUT, DELETE /api/medications.",High,Sprint 4,5,Health & Medication Management,medication;backend,Bilal Rafiq
"[MED] Create Medication Reminder System",Story,"Implement reminder notifications for medication schedules.",Medium,Sprint 4,8,Health & Medication Management,medication;backend,Talha Tariq

"[ACT] Create Activity Calendar View",Story,"Display activities and appointments in a calendar format.",High,Sprint 5,8,Activities & Events System,activities;frontend,Zee Waqar
"[ACT] Create Activity Scheduling Form",Story,"Form to create and schedule new activities with participants.",High,Sprint 5,5,Activities & Events System,activities;frontend,Muhammad Zain bin Zafar
"[ACT] Implement Activity API Endpoints",Story,"Create CRUD endpoints for activities: GET, POST, PUT, DELETE /api/activities.",High,Sprint 5,5,Activities & Events System,activities;backend,Bilal Rafiq
"[EVT] Create Events Listing Page",Story,"Display upcoming community events for elders and families.",Medium,Sprint 5,5,Activities & Events System,events;frontend,Talha Tariq
"[EVT] Create Event Registration Feature",Story,"Allow users to register for community events.",Medium,Sprint 5,5,Activities & Events System,events;frontend,Zee Waqar
"[EVT] Implement Events API Endpoints",Story,"Create CRUD endpoints for events: GET, POST, PUT, DELETE /api/events.",Medium,Sprint 5,5,Activities & Events System,events;backend,Muhammad Zain bin Zafar
"[NOTIFY] Create Notification System",Story,"Implement in-app notifications for reminders and updates.",Medium,Sprint 5,8,Activities & Events System,notifications;backend,Bilal Rafiq

"[TEST] Write Unit Tests for Auth Module",Story,"Create Jest tests for authentication controller and middleware.",High,Sprint 6,5,Testing & Deployment,testing;backend,Talha Tariq
"[TEST] Write Unit Tests for API Endpoints",Story,"Create Jest tests for all API routes and controllers.",High,Sprint 6,8,Testing & Deployment,testing;backend,Zee Waqar
"[TEST] Write Frontend Component Tests",Story,"Create React Testing Library tests for key components.",Medium,Sprint 6,8,Testing & Deployment,testing;frontend,Muhammad Zain bin Zafar
"[TEST] Perform Integration Testing",Story,"Test frontend-backend integration across all features.",High,Sprint 6,8,Testing & Deployment,testing;integration,Bilal Rafiq
"[DEPLOY] Configure Docker Containers",Story,"Set up Dockerfiles for frontend and backend services.",High,Sprint 6,5,Testing & Deployment,deployment;devops,Talha Tariq
"[DEPLOY] Configure Docker Compose",Story,"Create docker-compose.yml for orchestrating all services.",High,Sprint 6,5,Testing & Deployment,deployment;devops,Zee Waqar
"[DEPLOY] Set Up CI/CD Pipeline",Story,"Configure GitHub Actions for automated testing and deployment.",Medium,Sprint 6,8,Testing & Deployment,deployment;devops,Muhammad Zain bin Zafar
"[DEPLOY] Create Production Environment Config",Story,"Configure environment variables and production settings.",High,Sprint 6,3,Testing & Deployment,deployment;devops,Bilal Rafiq
"[DOCS] Create API Documentation",Story,"Document all API endpoints with request/response examples.",Medium,Sprint 6,5,Testing & Deployment,documentation,Talha Tariq
"[DOCS] Create User Guide",Story,"Write user documentation for all system features.",Low,Sprint 6,5,Testing & Deployment,documentation,Zee Waqar
